Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,105,0,380.0,389.0213786103275,57.913569995434955,773.862618021667,43.0,4.8522611901315225,0.0,380,600,660,680,720,740,770,770,770,770,770
,Aggregated,105,0,380.0,389.0213786103275,57.913569995434955,773.862618021667,43.0,4.8522611901315225,0.0,380,600,660,680,720,740,770,770,770,770,770
