Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,75,0,78,128.58527686679736,52.64559798524715,415.0979219994042,43.0,1.8329983510154013,0.0,78,110,140,160,380,400,410,420,420,420,420
,Aggregated,75,0,78,128.58527686679736,52.64559798524715,415.0979219994042,43.0,1.8329983510154013,0.0,78,110,140,160,380,400,410,420,420,420,420
