Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,60,0,120.0,177.360911249707,51.17030697874725,421.09806698863395,43.0,2.889693199726746,0.0,120,190,260,370,400,420,420,420,420,420,420
,Aggregated,60,0,120.0,177.360911249707,51.17030697874725,421.09806698863395,43.0,2.889693199726746,0.0,120,190,260,370,400,420,420,420,420,420,420
