Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,30,0,77,114.53170203215753,55.72306099929847,267.89359300164506,43.0,1.4644967847128232,0.0,79,110,140,170,260,270,270,270,270,270,270
,Aggregated,30,0,77,114.53170203215753,55.72306099929847,267.89359300164506,43.0,1.4644967847128232,0.0,79,110,140,170,260,270,270,270,270,270,270
