Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,120,0,670.0,856.3371803344731,116.59884999971837,2514.920693996828,43.0,5.080241210796733,0.0,680,740,840,880,2300,2400,2500,2500,2500,2500,2500
,Aggregated,120,0,670.0,856.3371803344731,116.59884999971837,2514.920693996828,43.0,5.080241210796733,0.0,680,740,840,880,2300,2400,2500,2500,2500,2500,2500
