Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,90,0,270.0,300.1301963021332,52.62752799899317,604.3534259952139,43.0,4.231075809742942,0.0,300,430,510,530,560,580,600,600,600,600,600
,Aggregated,90,0,270.0,300.1301963021332,52.62752799899317,604.3534259952139,43.0,4.231075809742942,0.0,300,430,510,530,560,580,600,600,600,600,600
