Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,150,0,430.0,587.1797015065871,58.32622598973103,2427.837269991869,43.0,6.59477737777323,0.0,440,840,900,930,1200,1300,2100,2200,2400,2400,2400
,Aggregated,150,0,430.0,587.1797015065871,58.32622598973103,2427.837269991869,43.0,6.59477737777323,0.0,440,840,900,930,1200,1300,2100,2200,2400,2400,2400
