Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/propose_credential/,100,0,220.0,263.91713605087716,55.10989000322297,663.54721901007,43.0,3.1666445342259757,0.0,230,370,440,460,520,580,630,660,660,660,660
,Aggregated,100,0,220.0,263.91713605087716,55.10989000322297,663.54721901007,43.0,3.1666445342259757,0.0,230,370,440,460,520,580,630,660,660,660,660
